Movie Title,Gross Earnings ($),Release Date,Distributor,Year,Movie Genre,Animated/Live Action,Primary Movie Genre,Rated,imdb Rating,Soundtrack Genre,Primary Soundtrack Genre
Inside Out 2,652980194,Jun 14,Walt Disney Studios Motion Pictures,2024,"Animation, Adventure, Comedy",Animation, Adventure,PG,7.5,german,national
Deadpool & Wolverine,636745858,Jul 26,Walt Disney Studios Motion Pictures,2024,"Action, Adventure, Comedy",Live Action,Action,R,7.6,pop,pop
Wicked,432943285,Nov 22,Universal Pictures,2024,"Fantasy, Musical, Romance",Live Action,Fantasy,PG,7.5,musical,musical
Moana 2,404017489,Nov 27,Walt Disney Studios Motion Pictures,2024,"Animation, Adventure, Comedy",Animation, Adventure,PG,6.7,musical,musical
Despicable Me 4,361004205,Jul 3,Universal Pictures,2024,"Animation, Adventure, Comedy",Animation, Adventure,PG,6.2,hip-hop,rap
Beetlejuice Beetlejuice,294100435,Sep 6,Warner Bros.,2024,"Comedy, Fantasy, Horror",Live Action,Comedy,PG-13,6.7,australian,national
Dune: Part Two,282144358,Mar 1,Warner Bros.,2024,"Action, Adventure, Drama",Live Action,Action,PG-13,8.5,classical,classical
Twisters,267762265,Jul 19,Universal Pictures,2024,"Action, Adventure, Thriller",Live Action,Action,PG-13,6.5,electronic,electronic
Godzilla x Kong: The New Empire,196350016,Mar 29,Warner Bros.,2024,"Action, Adventure, Fantasy",Live Action,Action,PG-13,6.0,electronic,electronic
Kung Fu Panda 4,193590620,Mar 8,Universal Pictures,2024,"Animation, Action, Adventure",Animation, Action,PG,6.3,classical,classical
Bad Boys: Ride or Die,193573217,Jun 7,Sony Pictures Releasing,2024,"Action, Adventure, Comedy",Live Action,Action,R,6.5,trap,rap
Kingdom of the Planet of the Apes,171130165,May 10,20th Century Studios,2024,"Action, Adventure, Drama",Live Action,Action,PG-13,6.9,Genre not found,instrumental
Gladiator II,164554921,Nov 22,Paramount Pictures,2024,"Action, Adventure, Drama",Live Action,Action,R,6.6,classical,classical
Sonic the Hedgehog 3,151558894,Dec 20,Paramount Pictures,2024,"Action, Adventure, Comedy",Live Action,Action,PG,6.9,sonic,sonic
It Ends with Us,148518266,Aug 9,Sony Pictures Releasing,2024,"Drama, Romance",Live Action,Drama,PG-13,6.4,ambient,ambient
The Wild Robot,143190445,Sep 27,Universal Pictures,2024,"Animation, Sci-Fi",Animation, Sci-Fi,PG,8.2,jazz,jazz
Venom: The Last Dance,139733580,Oct 25,Sony Pictures Releasing,2024,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,6.0,rock,rock
A Quiet Place: Day One,138930553,Jun 28,Paramount Pictures,2024,"Drama, Horror, Sci-Fi",Live Action,Drama,PG-13,6.3,greek,national
Mufasa: The Lion King,128143945,Dec 20,Walt Disney Studios Motion Pictures,2024,"Animation, Adventure, Drama",Animation, Adventure,PG,6.6,musical,musical
Ghostbusters: Frozen Empire,113376590,Mar 22,Sony Pictures Releasing,2024,"Adventure, Comedy, Fantasy",Live Action,Adventure,PG-13,6.1,classical,classical
IF,111149917,May 17,Paramount Pictures,2024,"Animation, Comedy, Drama",Animation, Comedy,PG,6.4,hip-hop,rap
Alien: Romulus,105313091,Aug 16,Walt Disney Studios Motion Pictures,2024,"Horror, Sci-Fi, Thriller",Live Action,Horror,R,7.1,classical,classical
Barbie,636225983,Jul 21,Warner Bros.,2023,"Adventure, Comedy, Fantasy",Live Action,Adventure,PG-13,6.8,electronic,electronic
The Super Mario Bros. Movie,574934330,Apr 5,Universal Pictures,2023,"Animation, Adventure, Comedy",Animation, Adventure,PG,7.0,Genre not found,instrumental
Spider-Man: Across the Spider-Verse,381311319,Jun 2,Columbia Pictures,2023,"Animation, Action, Adventure",Animation, Action,PG,8.5,trap,rap
Guardians of the Galaxy Vol. 3,358995815,May 5,Walt Disney Studios Motion Pictures,2023,"Action, Adventure, Comedy",Live Action,Action,PG-13,7.9,post-rock,rock
Oppenheimer,326101370,Jul 21,Universal Pictures,2023,"Biography, Drama, History",Live Action,Biography,R,8.3,swedish,national
The Little Mermaid,298172056,May 26,Walt Disney Studios Motion Pictures,2023,"Animation, Adventure, Family",Animation, Adventure,G,7.6,musical,musical
Avatar: The Way of Water,283067859,Dec 16,20th Century Studios,2023,"Action, Adventure, Fantasy",Live Action,Action,PG-13,7.5,classical,classical
Ant-Man and the Wasp: Quantumania,214504909,Feb 17,Walt Disney Studios Motion Pictures,2023,"Action, Adventure, Comedy",Live Action,Action,PG-13,6.0,Genre not found,instrumental
John Wick: Chapter 4,187131806,Mar 24,Lionsgate,2023,"Action, Crime, Thriller",Live Action,Action,R,7.6,Genre not found,instrumental
Sound of Freedom,184177725,Jul 4,Angel Studios,2023,"Biography, Crime, Drama",Live Action,Biography,PG-13,7.6,indie,indie
Taylor Swift: The Eras Tour,179817571,Oct 13,AMC Theatres,2023,"Documentary, Music, Musical",Live Action,Documentary,PG-13,8.0,country,country
Indiana Jones and the Dial of Destiny,174480468,Jun 30,Walt Disney Studios Motion Pictures,2023,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,6.5,classical,classical
Mission: Impossible - Dead Reckoning Part One,172135383,Jul 12,Paramount Pictures,2023,"Action, Adventure, Thriller",Live Action,Action,PG-13,7.6,Genre not found,instrumental
The Hunger Games: The Ballad of Songbirds & Snakes,159719625,Nov 17,Lionsgate,2023,"Action, Adventure, Drama",Live Action,Action,PG-13,6.7,pop,pop
Transformers: Rise of the Beasts,157066392,Jun 9,Paramount Pictures,2023,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,6.0,american,national
Creed III,156248615,Mar 3,United Artists Releasing,2023,"Action, Drama, Sport",Live Action,Action,PG-13,6.7,rap,rap
Elemental,154426697,Jun 16,Walt Disney Studios Motion Pictures,2023,"Animation, Adventure, Comedy",Animation, Adventure,PG,7.0,new wave,rock
Fast X,146126015,May 19,Universal Pictures,2023,"Action, Adventure, Crime",Live Action,Action,PG-13,5.7,hip hop,rap
Five Nights at Freddy's,137275620,Oct 27,Universal Pictures,2023,"Horror, Mystery, Thriller",Live Action,Horror,PG-13,5.4,electronic,electronic
Wonka,133129902,Dec 15,Warner Bros.,2023,"Adventure, Comedy, Family",Live Action,Adventure,PG,7.0,contemporary classical,classical
Puss in Boots: The Last Wish,130425380,Dec 21,Universal Pictures,2023,"Animation, Action, Adventure",Animation, Action,PG,7.8,brazilian,national
Teenage Mutant Ninja Turtles: Mutant Mayhem,118613586,Aug 2,Paramount Pictures,2023,"Animation, Action, Adventure",Animation, Action,PG,7.2,ambient,ambient
Scream VI,108161389,Mar 10,Paramount Pictures,2023,"Horror, Mystery, Thriller",Live Action,Horror,R,6.4,pop,pop
The Flash,108133313,Jun 16,Warner Bros.,2023,"Action, Adventure, Drama",Live Action,Action,TV-PG,7.5,digicore,electronic
Top Gun: Maverick,718318561,May 27,Paramount Pictures,2022,"Action, Drama",Live Action,Action,PG-13,8.2,pop,pop
Black Panther: Wakanda Forever,436499646,Nov 11,Walt Disney Studios Motion Pictures,2022,"Action, Adventure, Drama",Live Action,Action,PG-13,6.6,pop,pop
Doctor Strange in the Multiverse of Madness,411331607,May 6,Walt Disney Studios Motion Pictures,2022,"Action, Adventure, Fantasy",Live Action,Action,PG-13,6.9,classical,classical
Avatar: The Way of Water,401007908,Dec 16,20th Century Studios,2022,"Action, Adventure, Fantasy",Live Action,Action,PG-13,7.5,classical,classical
Jurassic World Dominion,376851080,Jun 10,Universal Pictures,2022,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,5.6,Genre not found,instrumental
Minions: The Rise of Gru,369695210,Jul 1,Universal Pictures,2022,"Animation, Adventure, Comedy",Animation, Adventure,PG,6.5,hip-hop,rap
The Batman,369345583,Mar 4,Warner Bros.,2022,"Action, Crime, Drama",Live Action,Action,PG-13,7.8,post-punk,rock
Thor: Love and Thunder,343256830,Jul 8,Walt Disney Studios Motion Pictures,2022,"Action, Adventure, Comedy",Live Action,Action,PG-13,6.2,Genre not found,instrumental
Spider-Man: No Way Home,231808708,Dec 17,Sony Pictures Releasing,2022,"Action, Adventure, Fantasy",Live Action,Action,PG-13,8.2,Genre not found,instrumental
Sonic the Hedgehog 2,190872904,Apr 8,Paramount Pictures,2022,"Action, Adventure, Comedy",Live Action,Action,PG,6.5,sonic,sonic
Black Adam,168054237,Oct 21,Warner Bros.,2022,"Action, Adventure, Fantasy",Live Action,Action,PG-13,6.2,Genre not found,instrumental
Elvis,151040048,Jun 24,Warner Bros.,2022,"Biography, Drama, Music",Live Action,Biography,PG-13,7.3,rock n roll,rock
Uncharted,148649929,Feb 18,Sony Pictures Releasing,2022,"Action, Adventure",Live Action,Action,PG-13,6.3,k-pop,k-pop
Nope,123277080,Jul 22,Universal Pictures,2022,"Horror, Mystery, Sci-Fi",Live Action,Horror,R,6.8,contemporary classical,classical
Lightyear,118307188,Jun 17,Walt Disney Studios Motion Pictures,2022,"Animation, Action, Adventure",Animation, Action,PG,6.1,hip-hop,rap
Smile,105935048,Sep 30,Paramount Pictures,2022,"Horror, Mystery, Thriller",Live Action,Horror,R,6.5,pop,pop
The Lost City,105344029,Mar 25,Paramount Pictures,2022,"Action, Adventure, Comedy",Live Action,Action,PG-13,6.1,metalcore,metal
Bullet Train,103368602,Aug 5,Sony Pictures Releasing,2022,"Action, Comedy, Thriller",Live Action,Action,R,7.3,dubstep,electronic
Spider-Man: No Way Home,572984769,Dec 17,Sony Pictures Releasing,2021,"Action, Adventure, Fantasy",Live Action,Action,PG-13,8.2,Genre not found,instrumental
Shang-Chi and the Legend of the Ten Rings,224543292,Sep 3,Walt Disney Studios Motion Pictures,2021,"Action, Adventure, Fantasy",Live Action,Action,PG-13,7.3,hip-hop,rap
Venom: Let There Be Carnage,212609036,Oct 1,Sony Pictures Releasing,2021,"Action, Sci-Fi, Thriller",Live Action,Action,PG-13,5.9,pop,pop
Black Widow,183651655,Jul 9,Walt Disney Studios Motion Pictures,2021,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,6.6,metalcore,metal
F9: The Fast Saga,173005945,Jun 25,Universal Pictures,2021,"Action, Crime, Thriller",Live Action,Action,PG-13,5.2,electronic,electronic
Eternals,164616321,Nov 5,Walt Disney Studios Motion Pictures,2021,"Action, Adventure, Fantasy",Live Action,Action,PG-13,6.3,indie,indie
No Time to Die,160772007,Oct 8,Metro-Goldwyn-Mayer (MGM),2021,"Action, Adventure, Thriller",Live Action,Action,PG-13,7.3,pop,pop
A Quiet Place Part II,160072261,May 28,Paramount Pictures,2021,"Drama, Horror, Sci-Fi",Live Action,Drama,PG-13,7.2,Genre not found,instrumental
Ghostbusters: Afterlife,122378960,Nov 19,Sony Pictures Releasing,2021,"Adventure, Comedy, Fantasy",Live Action,Adventure,PG-13,7.0,ambient,ambient
Free Guy,121626598,Aug 13,20th Century Studios,2021,"Action, Adventure, Comedy",Live Action,Action,PG-13,7.1,electronic,electronic
Jungle Cruise,116987516,Jul 30,Walt Disney Studios Motion Pictures,2021,"Action, Adventure, Comedy",Live Action,Action,PG-13,6.6,classical,classical
Bad Boys for Life,204417855,Jan 17,Sony Pictures Releasing,2020,"Action, Comedy, Crime",Live Action,Action,R,6.5,hip-hop,rap
1917,157901466,Dec 25,Universal Pictures,2020,"Action, Drama, War",Live Action,Action,R,8.2,soul,jazz
Sonic the Hedgehog,146066470,Feb 14,Paramount Pictures,2020,"Action, Adventure, Comedy",Live Action,Action,PG,6.5,sonic,sonic
Jumanji: The Next Level,124736710,Dec 13,Sony Pictures Releasing,2020,"Action, Adventure, Comedy",Live Action,Action,PG-13,6.6,ambient,ambient
Star Wars: Episode IX - The Rise of Skywalker,124496308,Dec 20,Walt Disney Studios Motion Pictures,2020,"Action, Adventure, Fantasy",Live Action,Action,PG-13,6.4,classical,classical
Avengers: Endgame,858373000,Apr 26,Walt Disney Studios Motion Pictures,2019,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,8.4,Genre not found,instrumental
The Lion King,543638043,Jul 19,Walt Disney Studios Motion Pictures,2019,"Animation, Adventure, Drama",Animation, Adventure,G,8.5,rnb,rap
